sale_date,product_id,product_name,category,cost_price,unit_price,unit,day_of_week,is_weekend,month,day_of_month,year,festival,is_festival,days_to_next_festival,forecast_qty
2025-11-11,191,,Rice,72.0,78.0,kg,1,0,11,11,2025,none,0,-1,3.4713235279539423
2025-11-12,191,,Rice,72.0,78.0,kg,2,0,11,12,2025,none,0,-1,3.4713235279539423
2025-11-13,191,,Rice,72.0,78.0,kg,3,0,11,13,2025,none,0,-1,3.4713235279539423
2025-11-14,191,,Rice,72.0,78.0,kg,4,1,11,14,2025,none,0,-1,3.4713235279539423
2025-11-15,191,,Rice,72.0,78.0,kg,5,1,11,15,2025,none,0,-1,3.4713235279539423
2025-11-16,191,,Rice,72.0,78.0,kg,6,0,11,16,2025,none,0,-1,3.4713235279539423
2025-11-17,191,,Rice,72.0,78.0,kg,0,0,11,17,2025,none,0,-1,3.4713235279539423
2025-11-11,192,,Rice,83.0,92.0,kg,1,0,11,11,2025,none,0,-1,3.157482493582602
2025-11-12,192,,Rice,83.0,92.0,kg,2,0,11,12,2025,none,0,-1,3.157482493582602
2025-11-13,192,,Rice,83.0,92.0,kg,3,0,11,13,2025,none,0,-1,3.283507398793406
2025-11-14,192,,Rice,83.0,92.0,kg,4,1,11,14,2025,none,0,-1,3.1916700785423133
2025-11-15,192,,Rice,83.0,92.0,kg,5,1,11,15,2025,none,0,-1,3.1916700785423133
2025-11-16,192,,Rice,83.0,92.0,kg,6,0,11,16,2025,none,0,-1,3.1916700785423133
2025-11-17,192,,Rice,83.0,92.0,kg,0,0,11,17,2025,none,0,-1,3.048455713754306
2025-11-11,193,,Rice,60.0,65.0,kg,1,0,11,11,2025,none,0,-1,3.7477310631175835
2025-11-12,193,,Rice,60.0,65.0,kg,2,0,11,12,2025,none,0,-1,3.7477310631175835
2025-11-13,193,,Rice,60.0,65.0,kg,3,0,11,13,2025,none,0,-1,3.7477310631175835
2025-11-14,193,,Rice,60.0,65.0,kg,4,1,11,14,2025,none,0,-1,3.734180221114403
2025-11-15,193,,Rice,60.0,65.0,kg,5,1,11,15,2025,none,0,-1,3.734180221114403
2025-11-16,193,,Rice,60.0,65.0,kg,6,0,11,16,2025,none,0,-1,3.734180221114403
2025-11-17,193,,Rice,60.0,65.0,kg,0,0,11,17,2025,none,0,-1,3.7851313403745492
2025-11-11,194,,Rice,58.0,63.0,kg,1,0,11,11,2025,none,0,-1,3.8931833455575897
2025-11-12,194,,Rice,58.0,63.0,kg,2,0,11,12,2025,none,0,-1,3.794558079064982
2025-11-13,194,,Rice,58.0,63.0,kg,3,0,11,13,2025,none,0,-1,3.878658064470313
2025-11-14,194,,Rice,58.0,63.0,kg,4,1,11,14,2025,none,0,-1,3.594945568514236
2025-11-15,194,,Rice,58.0,63.0,kg,5,1,11,15,2025,none,0,-1,3.594945568514236
2025-11-16,194,,Rice,58.0,63.0,kg,6,0,11,16,2025,none,0,-1,3.878658064470313
2025-11-17,194,,Rice,58.0,63.0,kg,0,0,11,17,2025,none,0,-1,4.042271570172782
2025-11-11,195,,Rice,148.0,165.0,kg,1,0,11,11,2025,none,0,-1,3.619930068637941
2025-11-12,195,,Rice,148.0,165.0,kg,2,0,11,12,2025,none,0,-1,3.619930068637941
2025-11-13,195,,Rice,148.0,165.0,kg,3,0,11,13,2025,none,0,-1,3.619930068637941
2025-11-14,195,,Rice,148.0,165.0,kg,4,1,11,14,2025,none,0,-1,3.619930068637941
2025-11-15,195,,Rice,148.0,165.0,kg,5,1,11,15,2025,none,0,-1,3.619930068637941
2025-11-16,195,,Rice,148.0,165.0,kg,6,0,11,16,2025,none,0,-1,3.619930068637941
2025-11-17,195,,Rice,148.0,165.0,kg,0,0,11,17,2025,none,0,-1,3.619930068637941
2025-11-11,196,,Rice,180.0,195.0,kg,1,0,11,11,2025,none,0,-1,3.1138515233231705
2025-11-12,196,,Rice,180.0,195.0,kg,2,0,11,12,2025,none,0,-1,3.1138515233231705
2025-11-13,196,,Rice,180.0,195.0,kg,3,0,11,13,2025,none,0,-1,3.131057993644357
2025-11-14,196,,Rice,180.0,195.0,kg,4,1,11,14,2025,none,0,-1,3.082930884796546
2025-11-15,196,,Rice,180.0,195.0,kg,5,1,11,15,2025,none,0,-1,3.37933496424176
2025-11-16,196,,Rice,180.0,195.0,kg,6,0,11,16,2025,none,0,-1,3.655646082215501
2025-11-17,196,,Rice,180.0,195.0,kg,0,0,11,17,2025,none,0,-1,3.6865667207421255
2025-11-11,197,,Rice,80.0,88.0,kg,1,0,11,11,2025,none,0,-1,3.651984125044611
2025-11-12,197,,Rice,80.0,88.0,kg,2,0,11,12,2025,none,0,-1,3.614426521802034
2025-11-13,197,,Rice,80.0,88.0,kg,3,0,11,13,2025,none,0,-1,3.614426521802034
2025-11-14,197,,Rice,80.0,88.0,kg,4,1,11,14,2025,none,0,-1,3.5858187118991776
2025-11-15,197,,Rice,80.0,88.0,kg,5,1,11,15,2025,none,0,-1,3.5858187118991776
2025-11-16,197,,Rice,80.0,88.0,kg,6,0,11,16,2025,none,0,-1,3.5858187118991776
2025-11-17,197,,Rice,80.0,88.0,kg,0,0,11,17,2025,none,0,-1,3.651984125044611
2025-11-11,198,,Rice,155.0,170.0,kg,1,0,11,11,2025,none,0,-1,3.2197871076396964
2025-11-12,198,,Rice,155.0,170.0,kg,2,0,11,12,2025,none,0,-1,3.2197871076396964
2025-11-13,198,,Rice,155.0,170.0,kg,3,0,11,13,2025,none,0,-1,3.2197871076396964
2025-11-14,198,,Rice,155.0,170.0,kg,4,1,11,14,2025,none,0,-1,3.2837136676902636
2025-11-15,198,,Rice,155.0,170.0,kg,5,1,11,15,2025,none,0,-1,3.2837136676902636
2025-11-16,198,,Rice,155.0,170.0,kg,6,0,11,16,2025,none,0,-1,3.2837136676902636
2025-11-17,198,,Rice,155.0,170.0,kg,0,0,11,17,2025,none,0,-1,3.2197871076396964
2025-11-11,199,,Rice,375.0,390.0,pcs,1,0,11,11,2025,none,0,-1,3.1335491273107894
2025-11-12,199,,Rice,375.0,390.0,pcs,2,0,11,12,2025,none,0,-1,3.188369176618112
2025-11-13,199,,Rice,375.0,390.0,pcs,3,0,11,13,2025,none,0,-1,3.2377786222225646
2025-11-14,199,,Rice,375.0,390.0,pcs,4,1,11,14,2025,none,0,-1,3.453383257856598
2025-11-15,199,,Rice,375.0,390.0,pcs,5,1,11,15,2025,none,0,-1,3.453383257856598
2025-11-16,199,,Rice,375.0,390.0,pcs,6,0,11,16,2025,none,0,-1,3.453383257856598
2025-11-17,199,,Rice,375.0,390.0,pcs,0,0,11,17,2025,none,0,-1,3.4039738122521452
2025-11-11,200,,Rice,445.0,460.0,pcs,1,0,11,11,2025,none,0,-1,3.424795959592213
2025-11-12,200,,Rice,445.0,460.0,pcs,2,0,11,12,2025,none,0,-1,3.424795959592213
2025-11-13,200,,Rice,445.0,460.0,pcs,3,0,11,13,2025,none,0,-1,3.424795959592213
2025-11-14,200,,Rice,445.0,460.0,pcs,4,1,11,14,2025,none,0,-1,3.4486024114223848
2025-11-15,200,,Rice,445.0,460.0,pcs,5,1,11,15,2025,none,0,-1,3.4486024114223848
2025-11-16,200,,Rice,445.0,460.0,pcs,6,0,11,16,2025,none,0,-1,3.424795959592213
2025-11-17,200,,Rice,445.0,460.0,pcs,0,0,11,17,2025,none,0,-1,3.424795959592213
2025-11-11,201,,Rice,152.0,165.0,pcs,1,0,11,11,2025,none,0,-1,3.6188809514435984
2025-11-12,201,,Rice,152.0,165.0,pcs,2,0,11,12,2025,none,0,-1,3.6188809514435984
2025-11-13,201,,Rice,152.0,165.0,pcs,3,0,11,13,2025,none,0,-1,3.6188809514435984
2025-11-14,201,,Rice,152.0,165.0,pcs,4,1,11,14,2025,none,0,-1,3.6188809514435984
2025-11-15,201,,Rice,152.0,165.0,pcs,5,1,11,15,2025,none,0,-1,3.6188809514435984
2025-11-16,201,,Rice,152.0,165.0,pcs,6,0,11,16,2025,none,0,-1,3.6188809514435984
2025-11-17,201,,Rice,152.0,165.0,pcs,0,0,11,17,2025,none,0,-1,3.6188809514435984
2025-11-11,202,,Rice,375.0,395.0,pcs,1,0,11,11,2025,none,0,-1,3.8234371449482776
2025-11-12,202,,Rice,375.0,395.0,pcs,2,0,11,12,2025,none,0,-1,3.8234371449482776
2025-11-13,202,,Rice,375.0,395.0,pcs,3,0,11,13,2025,none,0,-1,3.7821820292134345
2025-11-14,202,,Rice,375.0,395.0,pcs,4,1,11,14,2025,none,0,-1,3.7821820292134345
2025-11-15,202,,Rice,375.0,395.0,pcs,5,1,11,15,2025,none,0,-1,3.7821820292134345
2025-11-16,202,,Rice,375.0,395.0,pcs,6,0,11,16,2025,none,0,-1,3.7821820292134345
2025-11-17,202,,Rice,375.0,395.0,pcs,0,0,11,17,2025,none,0,-1,3.8234371449482776
2025-11-11,203,,Flour,128.0,140.0,pcs,1,0,11,11,2025,none,0,-1,3.492680262192837
2025-11-12,203,,Flour,128.0,140.0,pcs,2,0,11,12,2025,none,0,-1,3.535882732965453
2025-11-13,203,,Flour,128.0,140.0,pcs,3,0,11,13,2025,none,0,-1,3.535882732965453
2025-11-14,203,,Flour,128.0,140.0,pcs,4,1,11,14,2025,none,0,-1,3.2823505963580235
2025-11-15,203,,Flour,128.0,140.0,pcs,5,1,11,15,2025,none,0,-1,3.2823505963580235
2025-11-16,203,,Flour,128.0,140.0,pcs,6,0,11,16,2025,none,0,-1,3.2823505963580235
2025-11-17,203,,Flour,128.0,140.0,pcs,0,0,11,17,2025,none,0,-1,3.535882732965453
2025-11-11,204,,Flour,318.0,350.0,pcs,1,0,11,11,2025,none,0,-1,3.7329195196078784
2025-11-12,204,,Flour,318.0,350.0,pcs,2,0,11,12,2025,none,0,-1,4.457796378039628
2025-11-13,204,,Flour,318.0,350.0,pcs,3,0,11,13,2025,none,0,-1,4.382406035893599
2025-11-14,204,,Flour,318.0,350.0,pcs,4,1,11,14,2025,none,0,-1,4.402252698695755
2025-11-15,204,,Flour,318.0,350.0,pcs,5,1,11,15,2025,none,0,-1,4.317557140315172
2025-11-16,204,,Flour,318.0,350.0,pcs,6,0,11,16,2025,none,0,-1,4.288800672090632
2025-11-17,204,,Flour,318.0,350.0,pcs,0,0,11,17,2025,none,0,-1,3.7329195196078784
2025-11-11,205,,Flour,65.0,72.0,pcs,1,0,11,11,2025,none,0,-1,3.97623912589832
2025-11-12,205,,Flour,65.0,72.0,pcs,2,0,11,12,2025,none,0,-1,3.97623912589832
