sale_date,product_id,product_name,category,cost_price,unit_price,unit,day_of_week,is_weekend,month,day_of_month,year,festival,is_festival,days_to_next_festival
2025-11-11,191,,Rice,72.0,78.0,kg,1,0,11,11,2025,none,0,-1
2025-11-12,191,,Rice,72.0,78.0,kg,2,0,11,12,2025,none,0,-1
2025-11-13,191,,Rice,72.0,78.0,kg,3,0,11,13,2025,none,0,-1
2025-11-14,191,,Rice,72.0,78.0,kg,4,1,11,14,2025,none,0,-1
2025-11-15,191,,Rice,72.0,78.0,kg,5,1,11,15,2025,none,0,-1
2025-11-16,191,,Rice,72.0,78.0,kg,6,0,11,16,2025,none,0,-1
2025-11-17,191,,Rice,72.0,78.0,kg,0,0,11,17,2025,none,0,-1
2025-11-11,192,,Rice,83.0,92.0,kg,1,0,11,11,2025,none,0,-1
2025-11-12,192,,Rice,83.0,92.0,kg,2,0,11,12,2025,none,0,-1
2025-11-13,192,,Rice,83.0,92.0,kg,3,0,11,13,2025,none,0,-1
2025-11-14,192,,Rice,83.0,92.0,kg,4,1,11,14,2025,none,0,-1
2025-11-15,192,,Rice,83.0,92.0,kg,5,1,11,15,2025,none,0,-1
2025-11-16,192,,Rice,83.0,92.0,kg,6,0,11,16,2025,none,0,-1
2025-11-17,192,,Rice,83.0,92.0,kg,0,0,11,17,2025,none,0,-1
2025-11-11,193,,Rice,60.0,65.0,kg,1,0,11,11,2025,none,0,-1
2025-11-12,193,,Rice,60.0,65.0,kg,2,0,11,12,2025,none,0,-1
2025-11-13,193,,Rice,60.0,65.0,kg,3,0,11,13,2025,none,0,-1
2025-11-14,193,,Rice,60.0,65.0,kg,4,1,11,14,2025,none,0,-1
2025-11-15,193,,Rice,60.0,65.0,kg,5,1,11,15,2025,none,0,-1
2025-11-16,193,,Rice,60.0,65.0,kg,6,0,11,16,2025,none,0,-1
2025-11-17,193,,Rice,60.0,65.0,kg,0,0,11,17,2025,none,0,-1
2025-11-11,194,,Rice,58.0,63.0,kg,1,0,11,11,2025,none,0,-1
2025-11-12,194,,Rice,58.0,63.0,kg,2,0,11,12,2025,none,0,-1
2025-11-13,194,,Rice,58.0,63.0,kg,3,0,11,13,2025,none,0,-1
2025-11-14,194,,Rice,58.0,63.0,kg,4,1,11,14,2025,none,0,-1
2025-11-15,194,,Rice,58.0,63.0,kg,5,1,11,15,2025,none,0,-1
2025-11-16,194,,Rice,58.0,63.0,kg,6,0,11,16,2025,none,0,-1
2025-11-17,194,,Rice,58.0,63.0,kg,0,0,11,17,2025,none,0,-1
2025-11-11,195,,Rice,148.0,165.0,kg,1,0,11,11,2025,none,0,-1
2025-11-12,195,,Rice,148.0,165.0,kg,2,0,11,12,2025,none,0,-1
2025-11-13,195,,Rice,148.0,165.0,kg,3,0,11,13,2025,none,0,-1
2025-11-14,195,,Rice,148.0,165.0,kg,4,1,11,14,2025,none,0,-1
2025-11-15,195,,Rice,148.0,165.0,kg,5,1,11,15,2025,none,0,-1
2025-11-16,195,,Rice,148.0,165.0,kg,6,0,11,16,2025,none,0,-1
2025-11-17,195,,Rice,148.0,165.0,kg,0,0,11,17,2025,none,0,-1
2025-11-11,196,,Rice,180.0,195.0,kg,1,0,11,11,2025,none,0,-1
2025-11-12,196,,Rice,180.0,195.0,kg,2,0,11,12,2025,none,0,-1
2025-11-13,196,,Rice,180.0,195.0,kg,3,0,11,13,2025,none,0,-1
2025-11-14,196,,Rice,180.0,195.0,kg,4,1,11,14,2025,none,0,-1
2025-11-15,196,,Rice,180.0,195.0,kg,5,1,11,15,2025,none,0,-1
2025-11-16,196,,Rice,180.0,195.0,kg,6,0,11,16,2025,none,0,-1
