sale_date,product_id,product_name,category,quantity,cost_price,unit_price,profit,subtotal,unit,day_of_week,is_weekend,month,day_of_month,year,festival,is_festival,days_to_next_festival
2025-11-09,207,Fresh Atta 1kg Pack,Flour,1,63.0,70.0,7.0,70.0,pcs,6,0,11,9,2025,none,0,-1
2025-11-09,222,Fresh Soyabean Oil 1L Bottle,Oil,1,172.0,185.0,13.0,185.0,pcs,6,0,11,9,2025,none,0,-1
2025-11-09,235,Brown Sugar 500g Pack,Sugar,1,68.0,75.0,7.0,75.0,pcs,6,0,11,9,2025,none,0,-1
2025-11-09,228,Pusti Soyabean Oil 1L Bottle,Oil,1,172.0,187.0,15.0,187.0,pcs,6,0,11,9,2025,none,0,-1
2025-11-09,245,Duck Eggs (Dozen),Eggs,1,165.0,180.0,15.0,180.0,dozen,6,0,11,9,2025,none,0,-1
2025-11-09,229,Teer Mustard Oil Loose,Oil,1,188.0,200.0,12.0,200.0,liter,6,0,11,9,2025,none,0,-1
2025-11-09,241,Farm Fresh Eggs Brown (Dozen),Eggs,2,145.0,155.0,20.0,310.0,dozen,6,0,11,9,2025,none,0,-1
2025-11-09,245,Duck Eggs (Dozen),Eggs,1,165.0,180.0,15.0,180.0,dozen,6,0,11,9,2025,none,0,-1
2025-11-09,246,Broiler Chicken Frozen,Meat,1,295.0,310.0,15.0,310.0,kg,6,0,11,9,2025,none,0,-1
2025-05-05,218,Teer Soyabean Oil 5L Bottle,Oil,2,875.0,945.0,140.0,1890.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,350,Cake Rusk 300g Pack,Bakery,2,68.0,75.0,14.0,150.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,289,ACI Salt 1kg Pack,Spices,4,33.0,36.0,12.0,144.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,295,Clove (Lobongo) 25g Pack,Spices,5,105.0,118.0,65.0,590.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,270,Pumpkin (Misti Kumra) Loose,Vegetables,2,38.0,42.0,8.0,84.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,216,Teer Soyabean Oil 1L Bottle,Oil,6,175.0,189.0,84.0,1134.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,352,ACI Vermicelli 500g Pack,Noodles,3,125.0,135.0,30.0,405.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,336,Radhuni Ghee 200g Jar,Dairy,2,320.0,335.0,30.0,670.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,345,Fresh Bread 400g Loaf,Bakery,2,43.0,48.0,10.0,96.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,278,Radhuni Turmeric Powder 100g Pack,Spices,5,68.0,75.0,35.0,375.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,282,Radhuni Cumin Powder 100g Pack,Spices,1,88.0,95.0,7.0,95.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,226,Radhuni Mustard Oil 5L Bottle,Oil,1,905.0,975.0,70.0,975.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,316,Pran Orange Juice 250ml Bottle,Beverages,5,31.0,35.0,20.0,175.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,260,Ginger Loose,Vegetables,4,210.0,220.0,40.0,880.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,357,Indomie Noodles 5-Pack,Noodles,3,92.0,102.0,30.0,306.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,313,Lays Chips 50g Pack,Snacks,5,22.0,25.0,15.0,125.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,313,Lays Chips 50g Pack,Snacks,3,22.0,25.0,9.0,75.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,250,Hilsa Fish Frozen,Fish,4,1200.0,1250.0,200.0,5000.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,379,Ispahani Tea 200g Pack,Beverages,2,112.0,122.0,20.0,244.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,286,Radhuni Biryani Masala 100g Pack,Spices,5,85.0,92.0,35.0,460.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,286,Radhuni Biryani Masala 100g Pack,Spices,4,85.0,92.0,28.0,368.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,241,Farm Fresh Eggs Brown (Dozen),Eggs,6,145.0,155.0,60.0,930.0,dozen,0,0,5,5,2025,none,0,33
2025-05-05,323,RC Cola 250ml Bottle,Beverages,5,20.0,23.0,15.0,115.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,363,Pran Mixed Pickles 400g Jar,Condiments,1,155.0,165.0,10.0,165.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,312,Kurkure 85g Pack,Snacks,2,28.0,32.0,8.0,64.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,222,Fresh Soyabean Oil 1L Bottle,Oil,1,172.0,185.0,13.0,185.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,203,ACI Pure Atta 2kg Pack,Flour,4,128.0,140.0,48.0,560.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,288,BD Salt 1kg Pack,Spices,6,32.0,35.0,18.0,210.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,238,Molasses (Gur) 500g,Sugar,2,48.0,55.0,14.0,110.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,360,Radhuni BBQ Sauce 340g Bottle,Condiments,6,125.0,135.0,60.0,810.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,236,Sugar Loose,Sugar,3,80.0,86.0,18.0,258.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,236,Sugar Loose,Sugar,2,80.0,86.0,12.0,172.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,373,Motor Dal (Peas) Loose,Pulses,3,108.0,118.0,30.0,354.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,273,Coriander Leaves Loose,Vegetables,5,42.0,45.0,15.0,225.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,347,Sandwich Bread 350g Loaf,Bakery,6,47.0,52.0,30.0,312.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,305,ACI Bombay Sweets 400g Pack,Snacks,6,85.0,95.0,60.0,570.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,314,Pran Mango Juice 250ml Bottle,Beverages,6,31.0,35.0,24.0,210.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,273,Coriander Leaves Loose,Vegetables,5,42.0,45.0,15.0,225.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,361,ACI Soy Sauce 250ml Bottle,Condiments,4,78.0,85.0,28.0,340.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,359,Pran Tomato Ketchup 340g Bottle,Condiments,4,115.0,125.0,40.0,500.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,378,Tapal Tea 190g Pack,Beverages,6,108.0,118.0,60.0,708.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,281,Radhuni Chili Powder 200g Pack,Spices,1,145.0,158.0,13.0,158.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,211,Suji (Semolina) 500g Pack,Flour,5,48.0,55.0,35.0,275.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,296,Bay Leaf (Tej Pata) 20g Pack,Spices,5,48.0,55.0,35.0,275.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,258,Red Onion Loose,Vegetables,1,62.0,66.0,4.0,66.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,318,Coca Cola 1L Bottle,Beverages,1,78.0,85.0,7.0,85.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,309,Lexus Biscuit 200g Pack,Snacks,4,38.0,42.0,16.0,168.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,231,Pran Sugar 1kg Pack,Sugar,1,82.0,88.0,6.0,88.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,199,Miniket Rice 5kg Pack,Rice,3,375.0,390.0,45.0,1170.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,206,Teer Atta 2kg Pack,Flour,3,130.0,144.0,42.0,432.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,299,Fennel Seeds (Mouri) 100g Pack,Spices,4,82.0,90.0,32.0,360.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,332,Pran Milk 1L Pack,Dairy,1,98.0,108.0,10.0,108.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,297,Cumin Seeds (Jeera) 100g Pack,Spices,1,92.0,102.0,10.0,102.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,302,Pran Chanachur 200g Pack,Snacks,3,40.0,45.0,15.0,135.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,220,Rupchanda Soyabean Oil 2L Bottle,Oil,5,350.0,378.0,140.0,1890.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,361,ACI Soy Sauce 250ml Bottle,Condiments,1,78.0,85.0,7.0,85.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,244,Country Eggs (Dozen),Eggs,3,158.0,170.0,36.0,510.0,dozen,0,0,5,5,2025,none,0,33
2025-05-05,362,Radhuni Chili Sauce 340g Bottle,Condiments,2,108.0,115.0,14.0,230.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,306,Fresh Toast Biscuit 300g Pack,Snacks,6,58.0,65.0,42.0,390.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,235,Brown Sugar 500g Pack,Sugar,2,68.0,75.0,14.0,150.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,374,ACI Pure Dal Loose,Pulses,1,145.0,155.0,10.0,155.0,kg,0,0,5,5,2025,none,0,33
2025-05-05,378,Tapal Tea 190g Pack,Beverages,6,108.0,118.0,60.0,708.0,pcs,0,0,5,5,2025,none,0,33
2025-05-05,199,Miniket Rice 5kg Pack,Rice,3,375.0,390.0,45.0,1170.0,pcs,0,0,5,5,2025,none,0,33
