Training run started: 2025-11-10 00:10:02.594846
Product 207: RMSE=1.7569, samples=89
Product 222: RMSE=1.9105, samples=92
Product 235: RMSE=1.2818, samples=92
Product 228: RMSE=1.6084, samples=93
Product 245: RMSE=1.1992, samples=85
Product 229: RMSE=1.3952, samples=80
Product 241: RMSE=2.0160, samples=94
Product 246: RMSE=1.9682, samples=97
Product 218: RMSE=1.3381, samples=89
Product 350: RMSE=1.6716, samples=95
Product 289: RMSE=1.5273, samples=81
Product 295: RMSE=1.1160, samples=89
Product 270: RMSE=1.2853, samples=79
Product 216: RMSE=1.8210, samples=98
Product 352: RMSE=1.3791, samples=95
Product 336: RMSE=1.8906, samples=79
Product 345: RMSE=2.0916, samples=80
Product 278: RMSE=1.5988, samples=82
Product 282: RMSE=1.8021, samples=100
Product 226: RMSE=1.5966, samples=94
Product 316: RMSE=1.1983, samples=77
Product 260: RMSE=1.4192, samples=75
Product 357: RMSE=1.7126, samples=84
Product 313: RMSE=1.4378, samples=69
Product 250: RMSE=1.6844, samples=97
Product 379: RMSE=1.9041, samples=79
Product 286: RMSE=2.1038, samples=108
Product 323: RMSE=1.8202, samples=93
Product 363: RMSE=1.4490, samples=91
Product 312: RMSE=1.4107, samples=94
Product 203: RMSE=1.8144, samples=71
Product 288: RMSE=1.8599, samples=114
Product 238: RMSE=1.2380, samples=109
Product 360: RMSE=1.9861, samples=85
Product 236: RMSE=1.6840, samples=89
Product 373: RMSE=1.4232, samples=98
Product 273: RMSE=1.5852, samples=86
Product 347: RMSE=1.4320, samples=81
Product 305: RMSE=1.9128, samples=94
Product 314: RMSE=1.6631, samples=89
Product 361: RMSE=1.6133, samples=92
Product 359: RMSE=1.7093, samples=98
Product 378: RMSE=1.8364, samples=86
Product 281: RMSE=2.4560, samples=70
Product 211: RMSE=1.7639, samples=86
Product 296: RMSE=1.9520, samples=88
Product 258: RMSE=1.9160, samples=89
Product 318: RMSE=1.7290, samples=81
Product 309: RMSE=2.0614, samples=108
Product 231: RMSE=2.0018, samples=96
Product 199: RMSE=1.2711, samples=87
Product 206: RMSE=1.7694, samples=102
Product 299: RMSE=1.4716, samples=94
Product 332: RMSE=1.3745, samples=84
Product 297: RMSE=1.9133, samples=99
Product 302: RMSE=1.4022, samples=83
Product 220: RMSE=0.9891, samples=92
Product 244: RMSE=1.2685, samples=87
Product 362: RMSE=1.7128, samples=90
Product 306: RMSE=1.4618, samples=93
Product 374: RMSE=1.8809, samples=103
Product 214: RMSE=1.6007, samples=86
Product 223: RMSE=1.6956, samples=82
Product 304: RMSE=1.0480, samples=89
Product 328: RMSE=1.6670, samples=84
Product 227: RMSE=1.5620, samples=74
Product 254: RMSE=1.3506, samples=102
Product 337: RMSE=1.9126, samples=97
Product 272: RMSE=1.5137, samples=99
Product 204: RMSE=1.0820, samples=105
Product 285: RMSE=1.8468, samples=76
Product 319: RMSE=1.5345, samples=87
Product 376: RMSE=1.6918, samples=91
Product 268: RMSE=1.6004, samples=91
Product 334: RMSE=1.7960, samples=96
Product 240: RMSE=1.7551, samples=100
Product 257: RMSE=1.9917, samples=78
Product 338: RMSE=1.4044, samples=95
Product 325: RMSE=1.9294, samples=83
Product 364: RMSE=1.6822, samples=85
Product 279: RMSE=2.2740, samples=89
Product 307: RMSE=1.3040, samples=73
Product 284: RMSE=2.1474, samples=86
Product 342: RMSE=1.8461, samples=74
Product 232: RMSE=1.0578, samples=79
Product 277: RMSE=1.5071, samples=76
Product 205: RMSE=2.2486, samples=94
Product 301: RMSE=1.6308, samples=93
Product 219: RMSE=1.7448, samples=94
Product 242: RMSE=1.8120, samples=79
Product 365: RMSE=1.7807, samples=96
Product 371: RMSE=1.9613, samples=87
Product 276: RMSE=1.4791, samples=93
Product 346: RMSE=1.4931, samples=107
Product 191: RMSE=1.5080, samples=85
Product 341: RMSE=1.7571, samples=100
Product 256: RMSE=1.7267, samples=99
Product 354: RMSE=1.4405, samples=87
Product 221: RMSE=1.3445, samples=85
Product 335: RMSE=1.6319, samples=83
Product 372: RMSE=1.7475, samples=82
Product 317: RMSE=1.6800, samples=71
Product 340: RMSE=1.5467, samples=92
Product 339: RMSE=1.8001, samples=107
Product 322: RMSE=1.6898, samples=97
Product 327: RMSE=1.7409, samples=85
